temp ano,temp mes,Data,Nublado,Cultura,RGB,NDVI
2020,4,2020-04-23,"0,00%",algodao,RGB/2020-04-23.tif,NDVI/2020-04-23.tif
2020,5,2020-05-18,"0,00%",algodao,RGB/2020-05-18.tif,NDVI/2020-05-18.tif
2020,6,2020-06-17,"0,00%",algodao,RGB/2020-06-17.tif,NDVI/2020-06-17.tif
2020,7,2020-07-17,"0,00%",algodao,RGB/2020-07-17.tif,NDVI/2020-07-17.tif
2020,8,2020-08-11,"0,00%",algodao,RGB/2020-08-11.tif,NDVI/2020-08-11.tif
2020,9,2020-09-25,"0,00%",colheita,RGB/2020-09-25.tif,NDVI/2020-09-25.tif
2020,10,2020-10-15,"0,00%",soja,RGB/2020-10-15.tif,NDVI/2020-10-15.tif
2020,11,2020-11-04,"0,00%",soja,RGB/2020-11-04.tif,NDVI/2020-11-04.tif
2020,12,2020-12-14,"0,00%",soja,RGB/2020-12-14.tif,NDVI/2020-12-14.tif
2021,1,2021-01-13,"0,00%",soja,RGB/2021-01-13.tif,NDVI/2021-01-13.tif
2021,2,2021-02-02,"7,54%",colheita,RGB/2021-02-02.tif,NDVI/2021-02-02.tif
2021,3,2021-03-29,"14,41%",algodao,RGB/2021-03-29.tif,NDVI/2021-03-29.tif
2021,4,2021-04-18,"0,00%",algodao,RGB/2021-04-18.tif,NDVI/2021-04-18.tif
2021,5,2021-05-18,"0,00%",algodao,RGB/2021-05-18.tif,NDVI/2021-05-18.tif
2021,6,2021-06-17,"0,00%",algodao,RGB/2021-06-17.tif,NDVI/2021-06-17.tif
2021,7,2021-07-17,"0,00%",algodao,RGB/2021-07-17.tif,NDVI/2021-07-17.tif
2021,8,2021-08-11,"0,00%",algodao,RGB/2021-08-11.tif,NDVI/2021-08-11.tif
2021,9,2021-09-15,"0,00%",colheita,RGB/2021-09-15.tif,NDVI/2021-09-15.tif
2021,10,2021-10-15,"0,00%",soja,RGB/2021-10-15.tif,NDVI/2021-10-15.tif
2021,11,2021-11-29,"0,00%",soja,RGB/2021-11-29.tif,NDVI/2021-11-29.tif
2021,12,2021-12-04,"0,00%",soja,RGB/2021-12-04.tif,NDVI/2021-12-04.tif
